10,3,6.676599999999588e-05,0.012021333999999939
15,3,9.915999999998704e-05,0.05394884000000011
20,3,0.00012365400000002857,0.14608711100000016
25,3,0.00016000000000016001,0.3263743210000001
30,3,0.00018883900000021825,0.5518467159999998
35,3,0.00022044399999998632,0.9241315559999999
40,3,0.00023980200000028873,1.3790538269999995
45,3,0.00028444500000013306,2.020227951
50,3,0.00032000000000032003,2.8698054320000006
55,3,0.00040770400000056384,3.878524049000001
60,3,0.00037333399999894823,5.011904395000002
65,3,0.00041639500000201224,6.471646024999998
70,3,0.00042706199999997807,8.309238123
75,3,0.00043693899999652785,10.470163753000001
80,3,0.00046972799999878134,12.409672691000004
85,3,0.0005064690000011751,15.427621531
